_word,_opposite
above,below
accept,reject
ahead,behind
allow,prevent
alpha,omega
back,front
bad,good
begin,end
big,small
birth,death
black,white
boy,girl
bright,dim
build,destroy
buy,sell
clean,dirty
cling,release
close,open
cold,hot
core,edge
create,destroy
day,night
difficult,easy
down,up
download,upload
east,west
easy,difficult
enable,disable
encode,decode
enter,exit
even,odd
expand,contract
export,import
external,internal
false,true
fast,slow
first,last
for,against
front,back
full,empty
gain,loss
give,take
hard,soft
heavy,light
hide,show
high,low
hill,plain
hire,fire
horizontal,vertical
in,out
include,exclude
input,output
inside,outside
internal,external
large,small
lead,follow
light,dark
lift,lower
local,remote
lock,unlock
major,minor
make,break
male,female
many,few
maximum,minimum
micro,macro
move,stay
much,little
new,old
north,south
odd,even
off,on
open,closed
out,in
outside,inside
over,under
parent,child
past,future
pay,receive
peace,war
peak,pit
positive,negative
previous,next
primary,secondary
profit,loss
public,private
pull,push
push,pull
quick,slow
raise,lower
read,write
receive,send
rich,poor
right,left
right,wrong
rise,fall
rough,smooth
round,square
same,different
send,receive
show,hide
simple,complex
slow,fast
small,large
smooth,rough
soft,hard
solid,liquid
source,destination
start,stop
strong,weak
take,give
thick,thin
top,bottom
up,down
visible,hidden
warm,cool
weak,strong
west,east
work,rest
yes,no
young,old
